Id	Title	Url	Path	IsPaidOnly	Difficulty	Likes	Dislikes	ContentFeatures	SnippetFeatures	acRate	gpt-4-0125-preview Solved At	gpt-4-0125-preview Submitted At	gpt-4-0125-preview Result	gemini-1.0-pro Solved At	gemini-1.0-pro Submitted At	gemini-1.0-pro Result	gemini-1.5-pro-preview-0409 Solved At	gemini-1.5-pro-preview-0409 Submitted At	gemini-1.5-pro-preview-0409 Result	claude-3-opus-20240229 Solved At	claude-3-opus-20240229 Submitted At	claude-3-opus-20240229 Result	
219	Contains Duplicate II	https://leetcode.com/problems/contains-duplicate-ii/	problems/contains-duplicate-ii.json	false	Easy	5945	3025			44.7	2024-03-13 01:10:32		Accepted	2024-03-13 10:26:29		Accepted	2024-04-12 09:45:47	2024-05-18 08:27:41	Accepted	2024-03-16 17:25:56		Accepted	
108	Convert Sorted Array to Binary Search Tree	https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/	problems/convert-sorted-array-to-binary-search-tree.json	false	Easy	10722	540	img		71.4	2024-03-13 01:10:55		Accepted	2024-03-13 10:30:16		Accepted	2024-04-12 09:46:01	2024-05-18 08:27:48	Accepted	2024-03-16 17:26:25		Accepted	
138	Copy List with Random Pointer	https://leetcode.com/problems/copy-list-with-random-pointer/	problems/copy-list-with-random-pointer.json	false	Medium	13509	1418	a,img		55.6	2024-03-13 01:11:13		Accepted	2024-03-13 10:30:23		Runtime Error	2024-04-12 09:46:19	2024-05-18 08:27:56	Accepted	2024-03-16 17:26:57		Accepted	
222	Count Complete Tree Nodes	https://leetcode.com/problems/count-complete-tree-nodes/	problems/count-complete-tree-nodes.json	false	Easy	8444	490	a,img		64.6	2024-03-13 01:11:29		Accepted	2024-03-13 10:30:29		Wrong Answer	2024-04-12 09:46:43	2024-05-18 08:28:03	Accepted	2024-03-16 17:27:38		Accepted	
1448	Count Good Nodes in Binary Tree	https://leetcode.com/problems/count-good-nodes-in-binary-tree/	problems/count-good-nodes-in-binary-tree.json	false	Medium	5654	155	img		73.1	2024-03-13 01:11:48		Accepted	2024-03-13 10:30:35		Accepted	2024-04-12 09:46:51	2024-05-18 08:28:11	Accepted	2024-03-16 17:28:07		Accepted	
338	Counting Bits	https://leetcode.com/problems/counting-bits/	problems/counting-bits.json	false	Easy	10886	513			78.1	2024-03-13 01:12:01		Accepted	2024-03-13 10:30:41		Accepted	2024-04-12 09:46:57	2024-05-18 08:28:18	Accepted	2024-03-16 17:28:32		Accepted	
207	Course Schedule	https://leetcode.com/problems/course-schedule/	problems/course-schedule.json	false	Medium	15810	669			46.6	2024-03-13 01:12:39		Accepted	2024-03-13 10:30:45		Accepted	2024-04-12 09:47:07	2024-05-18 08:28:25	Accepted	2024-03-16 17:29:14		Accepted	
210	Course Schedule II	https://leetcode.com/problems/course-schedule-ii/	problems/course-schedule-ii.json	false	Medium	10494	336			50.1	2024-03-13 01:13:01		Accepted	2024-03-13 10:30:48		Accepted	2024-04-12 09:47:17	2024-05-18 08:28:32	Accepted	2024-03-16 17:29:50		Wrong Answer	
739	Daily Temperatures	https://leetcode.com/problems/daily-temperatures/	problems/daily-temperatures.json	false	Medium	12876	301			65.9	2024-03-13 01:13:23		Accepted	2024-03-13 10:30:51		Accepted	2024-04-12 09:47:24	2024-05-18 08:28:39	Accepted	2024-03-16 17:30:16		Accepted	
394	Decode String	https://leetcode.com/problems/decode-string/	problems/decode-string.json	false	Medium	12381	581			59.0	2024-03-13 01:13:39		Accepted	2024-03-13 10:30:54		Accepted	2024-04-12 09:47:46	2024-05-18 08:28:46	Accepted	2024-03-16 17:30:47		Accepted	
450	Delete Node in a BST	https://leetcode.com/problems/delete-node-in-a-bst/	problems/delete-node-in-a-bst.json	false	Medium	8830	252	img		51.1	2024-03-13 01:14:04		Accepted				2024-04-12 09:48:05	2024-05-18 08:28:53	Accepted	2024-03-16 17:31:19		Accepted	
2095	Delete the Middle Node of a Linked List	https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/	problems/delete-the-middle-node-of-a-linked-list.json	false	Medium	3988	72	img		58.8	2024-03-13 01:14:39		Accepted	2024-03-13 10:49:31		Accepted	2024-04-12 09:48:15	2024-05-18 08:29:01	Accepted	2024-03-16 17:31:46		Accepted	
211	Design Add and Search Words Data Structure	https://leetcode.com/problems/design-add-and-search-words-data-structure/	problems/design-add-and-search-words-data-structure.json	false	Medium	7443	439		multi	45.0	2024-03-13 01:14:57		Accepted	2024-03-13 10:49:49		Runtime Error	2024-04-12 09:48:23	2024-05-18 08:29:08	Accepted	2024-03-16 17:32:27		Accepted	
1657	Determine if Two Strings Are Close	https://leetcode.com/problems/determine-if-two-strings-are-close/	problems/determine-if-two-strings-are-close.json	false	Medium	3530	253			55.3	2024-03-13 01:15:10		Accepted	2024-03-13 10:49:58		Accepted	2024-04-12 09:48:31	2024-05-18 08:29:15	Accepted	2024-03-16 17:32:58		Accepted	
543	Diameter of Binary Tree	https://leetcode.com/problems/diameter-of-binary-tree/	problems/diameter-of-binary-tree.json	false	Easy	13475	955	img		60.0	2024-03-13 09:30:59		Accepted	2024-03-13 10:50:04		Accepted	2024-04-12 09:48:40	2024-05-18 08:29:22	Accepted	2024-03-16 17:33:24		Accepted	
790	Domino and Tromino Tiling	https://leetcode.com/problems/domino-and-tromino-tiling/	problems/domino-and-tromino-tiling.json	false	Medium	3332	1078	img		50.8	2024-03-13 01:16:07		Wrong Answer	2024-03-13 10:50:07		Accepted	2024-04-12 09:48:52	2024-05-18 08:29:29	Wrong Answer	2024-03-16 17:33:56		Accepted	
649	Dota2 Senate	https://leetcode.com/problems/dota2-senate/	problems/dota2-senate.json	false	Medium	2224	1725			47.6	2024-03-13 01:16:37		Accepted	2024-03-13 10:50:11		Wrong Answer	2024-04-12 09:48:59	2024-05-18 08:29:36	Accepted	2024-03-16 17:34:29		Accepted	
72	Edit Distance	https://leetcode.com/problems/edit-distance/	problems/edit-distance.json	false	Medium	14462	205			56.1	2024-03-13 01:17:09		Accepted				2024-04-12 09:49:09	2024-05-18 08:29:44	Accepted	2024-03-16 17:35:03		Accepted	
2352	Equal Row and Column Pairs	https://leetcode.com/problems/equal-row-and-column-pairs/	problems/equal-row-and-column-pairs.json	false	Medium	2092	136	img		70.9	2024-03-13 01:17:27		Accepted	2024-03-13 11:02:27		Accepted	2024-04-12 09:49:16	2024-05-18 08:29:51	Accepted	2024-03-16 17:35:30		Accepted	
399	Evaluate Division	https://leetcode.com/problems/evaluate-division/	problems/evaluate-division.json	false	Medium	9014	875			61.5	2024-03-13 01:17:54		Accepted	2024-03-13 11:02:44		Runtime Error	2024-04-12 09:49:25	2024-05-18 08:29:58	Wrong Answer	2024-03-16 17:36:14		Accepted	
150	Evaluate Reverse Polish Notation	https://leetcode.com/problems/evaluate-reverse-polish-notation/	problems/evaluate-reverse-polish-notation.json	false	Medium	7433	1051	a		51.0	2024-03-13 01:18:12		Accepted				2024-04-12 09:49:31	2024-05-18 08:30:05	Accepted	2024-03-16 17:36:42		Accepted	
172	Factorial Trailing Zeroes	https://leetcode.com/problems/factorial-trailing-zeroes/	problems/factorial-trailing-zeroes.json	false	Medium	3113	1941			43.2	2024-03-13 01:18:31		Accepted	2024-03-13 11:12:08		Accepted	2024-04-12 09:49:37	2024-05-18 08:30:12	Accepted	2024-03-16 17:37:07		Accepted	
438	Find All Anagrams in a String	https://leetcode.com/problems/find-all-anagrams-in-a-string/	problems/find-all-anagrams-in-a-string.json	false	Medium	12143	336			50.8	2024-03-13 01:18:58		Accepted	2024-03-13 11:12:40		Accepted	2024-04-12 09:49:46	2024-05-18 08:30:20	Accepted	2024-03-16 17:37:42		Accepted	
34	Find First and Last Position of Element in Sorted Array	https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/	problems/find-first-and-last-position-of-element-in-sorted-array.json	false	Medium	20026	492			44.0	2024-03-13 01:19:23		Accepted	2024-03-13 11:12:57		Accepted	2024-04-12 09:49:58	2024-05-18 08:30:26	Accepted	2024-03-16 17:38:21		Accepted	
373	Find K Pairs with Smallest Sums	https://leetcode.com/problems/find-k-pairs-with-smallest-sums/	problems/find-k-pairs-with-smallest-sums.json	false	Medium	6074	432			40.0	2024-03-13 01:19:53		Accepted	2024-03-13 11:13:07		Runtime Error	2024-04-12 09:50:06	2024-05-18 08:30:34	Accepted	2024-03-16 17:38:57		Accepted	
295	Find Median from Data Stream	https://leetcode.com/problems/find-median-from-data-stream/	problems/find-median-from-data-stream.json	false	Hard	11585	231		multi	51.8	2024-03-13 01:20:30		Accepted	2024-03-13 11:13:13		Accepted	2024-04-12 09:50:18	2024-05-18 08:30:42	Accepted	2024-03-16 17:39:36		Accepted	
153	Find Minimum in Rotated Sorted Array	https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/	problems/find-minimum-in-rotated-sorted-array.json	false	Medium	12779	562			50.1	2024-03-13 01:20:43		Accepted	2024-03-13 11:13:16		Accepted	2024-04-12 09:50:25	2024-05-18 08:30:49	Accepted	2024-03-16 17:40:02		Accepted	
162	Find Peak Element	https://leetcode.com/problems/find-peak-element/	problems/find-peak-element.json	false	Medium	11497	4600			45.9	2024-03-13 01:20:58		Accepted	2024-03-13 11:13:19		Accepted	2024-04-12 09:50:36	2024-05-18 08:30:56	Accepted	2024-03-16 17:40:29		Accepted	
724	Find Pivot Index	https://leetcode.com/problems/find-pivot-index/	problems/find-pivot-index.json	false	Easy	8139	827	a		57.1	2024-03-13 01:21:14		Accepted	2024-03-13 11:13:21		Accepted	2024-04-12 09:50:44	2024-05-18 08:31:03	Accepted	2024-03-16 17:40:54		Accepted	
2215	Find the Difference of Two Arrays	https://leetcode.com/problems/find-the-difference-of-two-arrays/	problems/find-the-difference-of-two-arrays.json	false	Easy	2234	92			78.6	2024-03-13 01:21:37		Accepted	2024-03-13 11:13:24		Accepted	2024-04-12 09:50:53	2024-05-18 08:31:10	Accepted	2024-03-16 17:41:18		Accepted	
287	Find the Duplicate Number	https://leetcode.com/problems/find-the-duplicate-number/	problems/find-the-duplicate-number.json	false	Medium	22384	4176			59.4	2024-03-13 01:21:53		Accepted	2024-03-13 11:13:26		Accepted	2024-04-12 09:51:02	2024-05-18 08:31:17	Accepted	2024-03-16 17:41:49		Accepted	
1732	Find the Highest Altitude	https://leetcode.com/problems/find-the-highest-altitude/	problems/find-the-highest-altitude.json	false	Easy	2769	289			82.9	2024-03-13 01:22:10		Accepted	2024-03-13 11:13:29		Accepted	2024-04-12 09:51:07	2024-05-18 08:31:24	Accepted	2024-03-16 17:42:11		Accepted	
28	Find the Index of the First Occurrence in a String	https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/	problems/find-the-index-of-the-first-occurrence-in-a-string.json	false	Easy	5487	366			41.9	2024-03-13 01:22:22		Accepted	2024-03-13 11:13:31		Accepted	2024-04-12 09:51:13	2024-05-18 08:31:32	Accepted	2024-03-16 17:42:37		Accepted	
41	First Missing Positive	https://leetcode.com/problems/first-missing-positive/	problems/first-missing-positive.json	false	Hard	15812	1780			37.8	2024-03-13 01:22:38		Accepted	2024-03-13 11:13:41		Accepted	2024-04-12 09:51:56	2024-05-18 08:31:39	Accepted	2024-03-16 17:43:06		Accepted	
114	Flatten Binary Tree to Linked List	https://leetcode.com/problems/flatten-binary-tree-to-linked-list/	problems/flatten-binary-tree-to-linked-list.json	false	Medium	11963	554	a,img		64.5	2024-03-13 01:23:04		Accepted	2024-03-13 11:13:47		Accepted	2024-04-12 09:52:20	2024-05-18 08:31:46	Accepted	2024-03-16 17:43:36		Accepted	
289	Game of Life	https://leetcode.com/problems/game-of-life/	problems/game-of-life.json	false	Medium	6233	542	a,img		68.9	2024-03-13 01:23:27		Accepted	2024-03-13 11:13:53		Wrong Answer	2024-04-12 09:52:39	2024-05-18 08:31:53	Accepted	2024-03-16 17:44:13		Accepted	
134	Gas Station	https://leetcode.com/problems/gas-station/	problems/gas-station.json	false	Medium	11623	1076			45.5	2024-03-13 01:23:47		Accepted	2024-03-13 11:13:59		Accepted	2024-04-12 09:38:56	2024-05-18 08:32:01	Accepted	2024-03-16 17:44:47		Accepted	
22	Generate Parentheses	https://leetcode.com/problems/generate-parentheses/	problems/generate-parentheses.json	false	Medium	20573	884			74.3	2024-03-13 01:24:03		Accepted	2024-03-13 11:14:04		Accepted	2024-04-12 09:52:47	2024-05-18 08:32:08	Accepted	2024-03-16 17:45:13		Accepted	
1071	Greatest Common Divisor of Strings	https://leetcode.com/problems/greatest-common-divisor-of-strings/	problems/greatest-common-divisor-of-strings.json	false	Easy	4860	1206			51.5	2024-03-13 01:24:17		Accepted	2024-03-13 11:14:10		Wrong Answer	2024-04-12 09:52:53	2024-05-18 08:32:15	Accepted	2024-03-16 17:45:41		Accepted	
49	Group Anagrams	https://leetcode.com/problems/group-anagrams/	problems/group-anagrams.json	false	Medium	18718	586			68.3	2024-03-13 01:24:29		Accepted				2024-04-12 09:53:00	2024-05-18 08:32:22	Accepted	2024-03-16 17:46:08		Accepted	
374	Guess Number Higher or Lower	https://leetcode.com/problems/guess-number-higher-or-lower/	problems/guess-number-higher-or-lower.json	false	Easy	3615	487			53.2	2024-03-13 01:25:01		Accepted	2024-03-13 11:50:32		Accepted	2024-04-12 09:53:08	2024-05-18 08:32:29	Accepted	2024-03-16 17:46:38		Accepted	
274	H-Index	https://leetcode.com/problems/h-index/	problems/h-index.json	false	Medium	1088	459	a		38.8	2024-03-13 01:25:18		Accepted	2024-03-13 11:45:50		Accepted	2024-04-12 09:38:35	2024-05-18 08:32:36	Accepted	2024-03-16 17:47:01		Accepted	
202	Happy Number	https://leetcode.com/problems/happy-number/	problems/happy-number.json	false	Easy	10049	1387			55.9	2024-03-13 01:25:35		Accepted	2024-03-13 11:51:22		Accepted	2024-04-12 09:53:15	2024-05-18 08:32:43	Accepted	2024-03-16 17:47:28		Accepted	
198	House Robber	https://leetcode.com/problems/house-robber/	problems/house-robber.json	false	Medium	20550	406			50.9	2024-03-13 01:25:48		Accepted	2024-03-13 11:57:06		Accepted	2024-04-12 09:53:21	2024-05-18 08:32:50	Accepted	2024-03-16 17:47:57		Accepted	
208	Implement Trie (Prefix Tree)	https://leetcode.com/problems/implement-trie-prefix-tree/	problems/implement-trie-prefix-tree.json	false	Medium	11279	133	a	multi	64.7	2024-03-13 01:26:22		Accepted	2024-03-13 11:54:40		Accepted	2024-04-12 09:53:36	2024-05-18 08:32:58	Accepted	2024-03-16 17:48:33		Accepted	
334	Increasing Triplet Subsequence	https://leetcode.com/problems/increasing-triplet-subsequence/	problems/increasing-triplet-subsequence.json	false	Medium	7876	469			40.1	2024-03-13 01:26:40		Accepted	2024-03-13 11:53:50		Accepted	2024-04-12 09:53:44	2024-05-18 08:33:06	Accepted	2024-03-16 17:48:59		Accepted	
380	Insert Delete GetRandom O(1)	https://leetcode.com/problems/insert-delete-getrandom-o1/	problems/insert-delete-getrandom-o1.json	false	Medium	9029	588		multi	54.4	2024-03-13 01:26:58		Accepted	2024-03-13 11:45:39		Accepted	2024-04-12 09:54:05	2024-05-18 08:33:13	Accepted	2024-03-16 17:49:41		Accepted	
57	Insert Interval	https://leetcode.com/problems/insert-interval/	problems/insert-interval.json	false	Medium	9549	722			40.0	2024-03-13 01:27:15		Accepted	2024-03-13 11:49:51		Accepted	2024-04-12 09:54:19	2024-05-18 08:33:20	Accepted	2024-03-16 17:50:14		Accepted	
12	Integer to Roman	https://leetcode.com/problems/integer-to-roman/	problems/integer-to-roman.json	false	Medium	6829	5481			64.4	2024-03-13 01:27:32		Accepted	2024-03-13 11:55:58		Accepted	2024-04-12 09:54:33	2024-05-18 08:33:27	Wrong Answer	2024-03-16 17:50:49		Accepted	
97	Interleaving String	https://leetcode.com/problems/interleaving-string/	problems/interleaving-string.json	false	Medium	8051	468	img		39.8	2024-03-13 01:27:56		Accepted	2024-03-13 11:54:02		Accepted	2024-04-12 09:54:45	2024-05-18 08:33:35	Accepted	2024-03-16 17:51:30		Accepted	
349	Intersection of Two Arrays	https://leetcode.com/problems/intersection-of-two-arrays/	problems/intersection-of-two-arrays.json	false	Easy	5870	2280			74.1	2024-03-13 01:28:08		Accepted	2024-03-13 11:46:25		Accepted	2024-04-12 09:54:52	2024-05-18 08:33:42	Accepted	2024-03-16 17:51:50		Accepted	
160	Intersection of Two Linked Lists	https://leetcode.com/problems/intersection-of-two-linked-lists/	problems/intersection-of-two-linked-lists.json	false	Easy	14607	1311	img		57.1	2024-03-13 01:28:30		Accepted	2024-03-13 11:50:20		Accepted	2024-04-12 09:54:58	2024-05-18 08:33:49	Accepted	2024-03-16 17:52:26		Accepted	
226	Invert Binary Tree	https://leetcode.com/problems/invert-binary-tree/	problems/invert-binary-tree.json	false	Easy	13697	207	img		76.7	2024-03-13 01:28:43		Accepted				2024-04-12 09:55:06	2024-05-18 08:33:56	Accepted	2024-03-16 17:52:49		Accepted	
502	IPO	https://leetcode.com/problems/ipo/	problems/ipo.json	false	Hard	3013	191			49.5	2024-03-13 01:29:08		Accepted	2024-03-13 11:40:31		Wrong Answer	2024-04-12 09:55:17	2024-05-18 08:34:03	Accepted	2024-03-16 17:53:26		Accepted	
392	Is Subsequence	https://leetcode.com/problems/is-subsequence/	problems/is-subsequence.json	false	Easy	9341	510			47.9	2024-03-13 01:29:34		Accepted	2024-03-13 11:55:50		Accepted	2024-04-12 09:55:23	2024-05-18 08:34:11	Accepted	2024-03-16 17:53:58		Accepted	
205	Isomorphic Strings	https://leetcode.com/problems/isomorphic-strings/	problems/isomorphic-strings.json	false	Easy	8183	1905			43.7	2024-03-13 01:29:50		Accepted	2024-03-13 11:40:40		Accepted	2024-04-12 09:55:35	2024-05-18 08:34:17	Accepted	2024-03-16 17:54:31		Accepted	
