.Filename	.Question.Url	.Question.Data.Question.questionFrontendId	.Question.Data.Question.Difficulty	.Question.TotalAccepted	.Question.AcRate	.Submissions["claude-3-7-sonnet-20250219"].CheckResponse.status_msg	.Submissions["claude-3-7-sonnet-20250219@{\"max_tokens\":16384,\"thinking\":{\"budget_tokens\":8192,\"type\":\"enabled\"}}"].CheckResponse.status_msg	.Submissions["deepseek-chat"].CheckResponse.status_msg	.Submissions["deepseek-reasoner"].CheckResponse.status_msg	.Submissions["gemini-2.0-flash-001"].CheckResponse.status_msg	.Submissions["gemini-2.0-pro-exp-02-05"].CheckResponse.status_msg	.Submissions["gemini-2.5-pro-exp-03-25"].CheckResponse.status_msg	.Submissions["grok-2-1212"].CheckResponse.status_msg	.Submissions["o1-2024-12-17"].CheckResponse.status_msg	.Submissions["o3-mini-2025-01-31"].CheckResponse.status_msg
button-with-longest-push-time.json	https://leetcode.com/problems/button-with-longest-push-time/	3386	Easy	29429	40.6	Wrong Answer	Accepted	Wrong Answer	Accepted	Runtime Error	Accepted	Accepted	Accepted	Accepted	Accepted	
check-balanced-string.json	https://leetcode.com/problems/check-balanced-string/	3340	Easy	48283	83.9	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
minimum-positive-sum-subarray.json	https://leetcode.com/problems/minimum-positive-sum-subarray/	3364	Easy	28994	46.8	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
transformed-array.json	https://leetcode.com/problems/transformed-array/	3379	Easy	28990	56.8	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
minimum-number-of-operations-to-make-elements-in-array-distinct.json	https://leetcode.com/problems/minimum-number-of-operations-to-make-elements-in-array-distinct/	3396	Easy	31699	57.7	Wrong Answer	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
smallest-number-with-all-set-bits.json	https://leetcode.com/problems/smallest-number-with-all-set-bits/	3370	Easy	32550	76.5	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
substring-matching-pattern.json	https://leetcode.com/problems/substring-matching-pattern/	3407	Easy	25356	25.7	Accepted	Accepted	Accepted	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
count-subarrays-of-length-three-with-a-condition.json	https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition/	3392	Easy	28612	53.0	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
maximum-subarray-with-equal-products.json	https://leetcode.com/problems/maximum-subarray-with-equal-products/	3411	Easy	21912	45.3	Accepted	Accepted	Wrong Answer	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
count-partitions-with-even-sum-difference.json	https://leetcode.com/problems/count-partitions-with-even-sum-difference/	3432	Easy	37912	80.1	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
find-the-largest-almost-missing-integer.json	https://leetcode.com/problems/find-the-largest-almost-missing-integer/	3471	Easy	21387	36.7	Accepted	Accepted	Accepted	Accepted	Wrong Answer	Accepted	Accepted	Accepted	Accepted	Accepted	
find-special-substring-of-length-k.json	https://leetcode.com/problems/find-special-substring-of-length-k/	3456	Easy	32620	35.4	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
sum-of-good-numbers.json	https://leetcode.com/problems/sum-of-good-numbers/	3452	Easy	27021	69.0	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
sum-of-variable-length-subarrays.json	https://leetcode.com/problems/sum-of-variable-length-subarrays/	3427	Easy	35106	86.0	Accepted	Accepted	Wrong Answer	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
find-valid-pair-of-adjacent-digits-in-string.json	https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string/	3438	Easy	32912	61.1	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
maximum-difference-between-adjacent-elements-in-a-circular-array.json	https://leetcode.com/problems/maximum-difference-between-adjacent-elements-in-a-circular-array/	3423	Easy	33929	74.6	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
maximum-difference-between-even-and-odd-frequency-i.json	https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-i/	3442	Easy	36010	49.0	Accepted	Accepted	Accepted	Accepted	Accepted	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
check-if-digits-are-equal-in-string-after-operations-i.json	https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/	3461	Easy	28260	79.0	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
transform-array-by-parity.json	https://leetcode.com/problems/transform-array-by-parity/	3467	Easy	27728	87.7	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
maximum-unique-subarray-sum-after-deletion.json	https://leetcode.com/problems/maximum-unique-subarray-sum-after-deletion/	3487	Easy	19525	23.6	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Wrong Answer	Wrong Answer	Runtime Error	Wrong Answer	Wrong Answer	Accepted	Accepted	
fruits-into-baskets-ii.json	https://leetcode.com/problems/fruits-into-baskets-ii/	3477	Easy	22704	46.6	Wrong Answer	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
unique-3-digit-even-numbers.json	https://leetcode.com/problems/unique-3-digit-even-numbers/	3483	Easy	20494	64.9	Wrong Answer	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	
find-mirror-score-of-a-string.json	https://leetcode.com/problems/find-mirror-score-of-a-string/	3412	Medium	19591	35.5	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Accepted	Accepted	
zero-array-transformation-i.json	https://leetcode.com/problems/zero-array-transformation-i/	3355	Medium	27766	42.0	Wrong Answer	Accepted	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Accepted	Accepted	
zero-array-transformation-ii.json	https://leetcode.com/problems/zero-array-transformation-ii/	3356	Medium	17599	37.0	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Time Limit Exceeded	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
zero-array-transformation-iii.json	https://leetcode.com/problems/zero-array-transformation-iii/	3362	Medium	5316	25.2	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Accepted	Accepted	
minimum-time-to-break-locks-i.json	https://leetcode.com/problems/minimum-time-to-break-locks-i/	3376	Medium	10547	29.7	Time Limit Exceeded	Accepted	Wrong Answer	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Wrong Answer	Accepted	Accepted	
maximum-subarray-sum-with-length-divisible-by-k.json	https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/	3381	Medium	10687	27.7	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Accepted	Accepted	
minimum-array-sum.json	https://leetcode.com/problems/minimum-array-sum/	3366	Medium	12100	29.0	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
digit-operations-to-make-two-integers-equal.json	https://leetcode.com/problems/digit-operations-to-make-two-integers-equal/	3377	Medium	6329	32.9	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Time Limit Exceeded	Accepted	Wrong Answer	Accepted	Accepted	
count-paths-with-the-given-xor-value.json	https://leetcode.com/problems/count-paths-with-the-given-xor-value/	3393	Medium	17195	39.0	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Accepted	Time Limit Exceeded	Accepted	Accepted	
maximum-amount-of-money-robot-can-earn.json	https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn/	3418	Medium	19408	29.7	Wrong Answer	Accepted	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	Wrong Answer	Accepted	Accepted	
find-the-lexicographically-largest-string-from-the-box-i.json	https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-i/	3403	Medium	15780	23.3	Memory Limit Exceeded	Time Limit Exceeded	Wrong Answer	Accepted	Memory Limit Exceeded	Wrong Answer	Time Limit Exceeded	Memory Limit Exceeded	Wrong Answer	Accepted	
count-beautiful-splits-in-an-array.json	https://leetcode.com/problems/count-beautiful-splits-in-an-array/	3388	Medium	5131	15.8	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Accepted	
count-special-subsequences.json	https://leetcode.com/problems/count-special-subsequences/	3404	Medium	8041	26.4	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Runtime Error	
minimum-cost-to-make-arrays-identical.json	https://leetcode.com/problems/minimum-cost-to-make-arrays-identical/	3424	Medium	21716	36.3	Accepted	Accepted	Wrong Answer	Accepted	Wrong Answer	Runtime Error	Accepted	Wrong Answer	Accepted	Accepted	
maximum-and-minimum-sums-of-at-most-size-k-subsequences.json	https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subsequences/	3428	Medium	9758	20.5	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Accepted	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Accepted	Runtime Error	
maximum-coins-from-k-consecutive-bags.json	https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags/	3413	Medium	6154	23.1	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Time Limit Exceeded	Wrong Answer	Wrong Answer	
longest-subsequence-with-decreasing-adjacent-difference.json	https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference/	3409	Medium	4238	13.4	Wrong Answer	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Your code is too long. Please reduce your code size and try again.	Time Limit Exceeded	Accepted	Wrong Answer	Time Limit Exceeded	Wrong Answer	
count-mentions-per-user.json	https://leetcode.com/problems/count-mentions-per-user/	3433	Medium	14137	29.8	Wrong Answer	Accepted	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Runtime Error	
sum-of-k-subarrays-with-length-at-least-m.json	https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/	3473	Medium	2645	19.3	Wrong Answer	Time Limit Exceeded	Wrong Answer	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Accepted	Wrong Answer	Accepted	Accepted	
paint-house-iv.json	https://leetcode.com/problems/paint-house-iv/	3429	Medium	7597	45.1	Wrong Answer	Accepted	Accepted	Accepted	Wrong Answer	Time Limit Exceeded	Accepted	Wrong Answer	Accepted	Accepted	
closest-equal-element-queries.json	https://leetcode.com/problems/closest-equal-element-queries/	3488	Medium	11228	27.7	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Accepted	Accepted	
maximum-frequency-after-subarray-operation.json	https://leetcode.com/problems/maximum-frequency-after-subarray-operation/	3434	Medium	11323	22.9	Wrong Answer	Accepted	Runtime Error	Wrong Answer	Time Limit Exceeded	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
maximum-manhattan-distance-after-k-changes.json	https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes/	3443	Medium	14720	30.4	Wrong Answer	Wrong Answer	Wrong Answer	Runtime Error	Wrong Answer	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Wrong Answer	
choose-k-elements-with-maximum-sum.json	https://leetcode.com/problems/choose-k-elements-with-maximum-sum/	3478	Medium	9659	25.9	Time Limit Exceeded	Wrong Answer	Wrong Answer	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Wrong Answer	Accepted	
assign-elements-to-groups-with-constraints.json	https://leetcode.com/problems/assign-elements-to-groups-with-constraints/	3447	Medium	16671	26.3	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Accepted	Accepted	
maximum-sum-with-at-most-k-elements.json	https://leetcode.com/problems/maximum-sum-with-at-most-k-elements/	3462	Medium	20900	57.6	Wrong Answer	Accepted	Runtime Error	Accepted	Time Limit Exceeded	Accepted	Accepted	Accepted	Accepted	Accepted	
select-k-disjoint-special-substrings.json	https://leetcode.com/problems/select-k-disjoint-special-substrings/	3458	Medium	7398	17.0	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Wrong Answer	Runtime Error	Wrong Answer	Time Limit Exceeded	Wrong Answer	Wrong Answer	Wrong Answer	
find-minimum-cost-to-remove-array-elements.json	https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements/	3469	Medium	5017	12.9	Wrong Answer	Time Limit Exceeded	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Wrong Answer	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	
eat-pizzas.json	https://leetcode.com/problems/eat-pizzas/	3457	Medium	18388	31.5	Wrong Answer	Wrong Answer	Runtime Error	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	
find-the-number-of-copy-arrays.json	https://leetcode.com/problems/find-the-number-of-copy-arrays/	3468	Medium	15225	43.6	Accepted	Accepted	Accepted	Accepted	Time Limit Exceeded	Wrong Answer	Accepted	Time Limit Exceeded	Accepted	Accepted	
longest-palindromic-subsequence-after-at-most-k-operations.json	https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/	3472	Medium	6773	31.1	Accepted	Accepted	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
fruits-into-baskets-iii.json	https://leetcode.com/problems/fruits-into-baskets-iii/	3479	Medium	3362	14.4	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Accepted	Accepted	
zero-array-transformation-iv.json	https://leetcode.com/problems/zero-array-transformation-iv/	3489	Medium	4569	25.0	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
find-x-sum-of-all-k-long-subarrays-ii.json	https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-ii/	3321	Hard	3828	15.7	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Accepted	
find-the-k-th-character-in-string-game-ii.json	https://leetcode.com/problems/find-the-k-th-character-in-string-game-ii/	3307	Hard	8653	29.9	Accepted	Accepted	Time Limit Exceeded	Accepted	Time Limit Exceeded	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
find-the-number-of-possible-ways-for-an-event.json	https://leetcode.com/problems/find-the-number-of-possible-ways-for-an-event/	3317	Hard	4325	37.5	Wrong Answer	Accepted	Wrong Answer	Time Limit Exceeded	Runtime Error	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
find-the-number-of-subsequences-with-equal-gcd.json	https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd/	3336	Hard	5993	38.8	Wrong Answer	Wrong Answer	Time Limit Exceeded	Accepted	Wrong Answer	Time Limit Exceeded	Accepted	Wrong Answer	Accepted	Accepted	
find-the-original-typed-string-ii.json	https://leetcode.com/problems/find-the-original-typed-string-ii/	3333	Hard	2467	15.7	Wrong Answer	Time Limit Exceeded	Wrong Answer	Wrong Answer	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Accepted	Accepted	
total-characters-in-string-after-transformations-ii.json	https://leetcode.com/problems/total-characters-in-string-after-transformations-ii/	3337	Hard	3655	32.6	Wrong Answer	Accepted	Wrong Answer	Accepted	Wrong Answer	Time Limit Exceeded	Accepted	Wrong Answer	Wrong Answer	Accepted	
count-k-reducible-numbers-less-than-n.json	https://leetcode.com/problems/count-k-reducible-numbers-less-than-n/	3352	Hard	3377	28.5	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Accepted	Memory Limit Exceeded	Wrong Answer	Accepted	
smallest-divisible-digit-product-ii.json	https://leetcode.com/problems/smallest-divisible-digit-product-ii/	3348	Hard	2155	9.9	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Runtime Error	Wrong Answer	Time Limit Exceeded	Wrong Answer	Memory Limit Exceeded	
count-number-of-balanced-permutations.json	https://leetcode.com/problems/count-number-of-balanced-permutations/	3343	Hard	3808	15.9	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Accepted	Time Limit Exceeded	Accepted	Accepted	
minimum-operations-to-make-character-frequencies-equal.json	https://leetcode.com/problems/minimum-operations-to-make-character-frequencies-equal/	3389	Hard	2878	23.5	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Runtime Error	Runtime Error	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	
maximum-frequency-of-an-element-after-performing-operations-ii.json	https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/	3347	Hard	8094	38.9	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Runtime Error	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	
sum-of-good-subsequences.json	https://leetcode.com/problems/sum-of-good-subsequences/	3351	Hard	9823	29.9	Wrong Answer	Accepted	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
minimize-the-maximum-adjacent-element-difference.json	https://leetcode.com/problems/minimize-the-maximum-adjacent-element-difference/	3357	Hard	1979	15.4	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Runtime Error	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Wrong Answer	
count-non-decreasing-subarrays-after-k-operations.json	https://leetcode.com/problems/count-non-decreasing-subarrays-after-k-operations/	3420	Hard	2384	20.5	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	
count-the-number-of-arrays-with-k-matching-adjacent-elements.json	https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements/	3405	Hard	4584	37.2	Memory Limit Exceeded	Wrong Answer	Memory Limit Exceeded	Accepted	Memory Limit Exceeded	Accepted	Accepted	Memory Limit Exceeded	Wrong Answer	Accepted	
maximize-subarray-sum-after-removing-all-occurrences-of-one-element.json	https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/	3410	Hard	2184	18.6	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Runtime Error	Runtime Error	
smallest-substring-with-identical-characters-i.json	https://leetcode.com/problems/smallest-substring-with-identical-characters-i/	3398	Hard	5635	18.9	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Accepted	Accepted	
shortest-matching-substring.json	https://leetcode.com/problems/shortest-matching-substring/	3455	Hard	1885	14.4	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Wrong Answer	Accepted	Accepted	
count-substrings-divisible-by-last-digit.json	https://leetcode.com/problems/count-substrings-divisible-by-last-digit/	3448	Hard	4138	19.3	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Accepted	Wrong Answer	Wrong Answer	Accepted	
minimum-increments-for-target-multiples-in-an-array.json	https://leetcode.com/problems/minimum-increments-for-target-multiples-in-an-array/	3444	Hard	4697	24.5	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Accepted	Accepted	
subsequences-with-a-unique-middle-mode-i.json	https://leetcode.com/problems/subsequences-with-a-unique-middle-mode-i/	3395	Hard	1724	17.3	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Runtime Error	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Accepted	
minimum-cost-good-caption.json	https://leetcode.com/problems/minimum-cost-good-caption/	3441	Hard	1762	17.0	Wrong Answer	Time Limit Exceeded	Wrong Answer	Runtime Error	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	
smallest-substring-with-identical-characters-ii.json	https://leetcode.com/problems/smallest-substring-with-identical-characters-ii/	3399	Hard	5257	44.3	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Runtime Error	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	
frequencies-of-shortest-supersequences.json	https://leetcode.com/problems/frequencies-of-shortest-supersequences/	3435	Hard	1370	23.4	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Runtime Error	
maximum-and-minimum-sums-of-at-most-size-k-subarrays.json	https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subarrays/	3430	Hard	2745	23.4	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Runtime Error	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Accepted	Accepted	
maximum-difference-between-even-and-odd-frequency-ii.json	https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii/	3445	Hard	1897	18.7	Time Limit Exceeded	Time Limit Exceeded	Wrong Answer	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Time Limit Exceeded	Wrong Answer	Accepted	
maximize-the-minimum-game-score.json	https://leetcode.com/problems/maximize-the-minimum-game-score/	3449	Hard	2320	23.3	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	
lexicographically-smallest-generated-string.json	https://leetcode.com/problems/lexicographically-smallest-generated-string/	3474	Hard	1065	20.7	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Wrong Answer	Accepted	Wrong Answer	Wrong Answer	Accepted	
check-if-digits-are-equal-in-string-after-operations-ii.json	https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/	3463	Hard	2880	6.0	Time Limit Exceeded	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Time Limit Exceeded	Accepted	Time Limit Exceeded	Accepted	Accepted	
permutations-iv.json	https://leetcode.com/problems/permutations-iv/	3470	Hard	1307	19.5	Wrong Answer	Wrong Answer	Time Limit Exceeded	Accepted	Time Limit Exceeded	Wrong Answer	Wrong Answer	Time Limit Exceeded	Wrong Answer	Accepted	
longest-common-prefix-of-k-strings-after-removal.json	https://leetcode.com/problems/longest-common-prefix-of-k-strings-after-removal/	3485	Hard	1963	11.6	Wrong Answer	Wrong Answer	Time Limit Exceeded	Time Limit Exceeded	Your code is too long. Please reduce your code size and try again.	Runtime Error	Accepted	Time Limit Exceeded	Wrong Answer	Accepted	
